,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
大洋之下,ㄉ,Aquatica,中,1-4,E3,7.4,3,30-60,2.28,https://boardgamegeek.com/boardgame/283393/aquatica,烏嘎嘎,,,策略,,,
香草花園,ㄒ,Herbaceous,中,1-4,E4,7.4,4,15-20,1.2,https://boardgamegeek.com/boardgame/195314/herbaceous,烏嘎嘎,,,小品,,,
漫步彩色島 ,ㄇ,Walking in Burano,中,1-4,E4,7.2,3,20-40,2.04,https://boardgamegeek.com/boardgame/257769/walking-burano,烏嘎嘎,,,策略,,,
繽紛夜光蟲,ㄅ,Noctiluca,中,1-4,E5,7.2,2,30,1.36,https://boardgamegeek.com/boardgame/269752/noctiluca,烏嘎嘎,,,小品,,,
聊齋,ㄌ,Ghost Stories,英,1-4,F1,7.4,4,60,2.9,https://boardgamegeek.com/boardgame/37046/ghost-stories,烏嘎嘎,,,策略,,,
醫學之父,ㄧ,Hippocrates,中,1-4,F2,7,4,90-120,2.87,https://boardgamegeek.com/boardgame/327971/hippocrates,烏嘎嘎,,,策略,,,
極東之旅,ㄐ,Stroganov,中,1-4,F2,7.4,3,90,3.12,https://boardgamegeek.com/boardgame/323156/stroganov,烏嘎嘎,,,策略,,,
月神,ㄩ,Luna,英,1-4,F2,7.4,4,60-100,3.34,https://boardgamegeek.com/boardgame/70512/luna,烏嘎嘎,,,策略,,,
拉格蘭莊園,ㄉ,La Granjra,英,1-4,F2,7.7,4,90-120,3.59,https://boardgamegeek.com/boardgame/146886/la-granja,烏嘎嘎,,,策略,,,
數字9乘塔,ㄕ,NMBR9,中,1-4,F3,6.9,3-4,20,1.21,https://boardgamegeek.com/boardgame/217449/nmbr-9,烏嘎嘎,,,抽象,,,
唐吉軻德,ㄊ,Don Quixote,英,1-4,F3,6.1,1,20,1.64,https://boardgamegeek.com/boardgame/65990/don-quixote,烏嘎嘎,,,抽象,,,
聖家族大教堂,ㄕ,Sagrada,中,1-4,F3,7.6,2,30-45,1.86,https://boardgamegeek.com/boardgame/199561/sagrada,烏嘎嘎,,,策略,,,
自然法則,ㄗ,CODEX Naturalis,中,1-4,F4,7.2,4,20-30,1.84,https://boardgamegeek.com/boardgame/314503/codex-naturalis,烏嘎嘎,,,策略,,,
諾亞星球,ㄋ,Noah Planet,中,1-4,F4,7.3,N/A,30-75,2,https://boardgamegeek.com/boardgame/342258/noah-planet,烏嘎嘎,,,策略,,,
流轉大地,ㄌ,Terra Shifter,中,1-4,F4,7.7,N/A,20-40,2.5,https://boardgamegeek.com/boardgame/229131/terra-shifter,烏嘎嘎,,,抽象,,,
矮人王國 寒霜凜冬,ㄞ,Dwar7s Winter,英,1-4,F5,6.8,4,30-45,2.75,https://boardgamegeek.com/boardgame/241334/dwar7s-winter,巴仔,,,策略,,,
瘋狂科學家,ㄈ ,Dr. Eureka,中,1-4,G4,6.7,2-4,15,1.12,https://boardgamegeek.com/boardgame/181345/dr-eureka,烏嘎嘎,,,兒童,,,
陰屍路,ㄧ,The Walking Dead Board Game,英,1-4,2F,5.1,4,45,1.75,https://boardgamegeek.com/boardgame/99079/walking-dead-board-game,小豬,,,小品,,,
俠鼠魔途,ㄒ,Mice and Mystics,英,1-4,2F,7.4,4,120,2.66,https://boardgamegeek.com/boardgame/124708/mice-and-mystics,比爾,,,RPG,,,
