,店內開盒遊戲列表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,租金,分類,標籤1,標籤2,標籤3,貼紙,圖片,教學,出處,玩家模式,遊戲簡介
太極,ㄊ,Yin Yang,中,1-4,D3,7.4,N/A,45-75,2.75,https://boardgamegeek.com/boardgame/280575/yin-yang,烏嘎嘎,,390,50,策略,中策,台灣國產,區域控制,黃色,v,https://youtu.be/6Sv6vYnKrz0?si=8tjPIHHwfLC_pAhP,逸馬的桌遊小教室,,
遠征紐戴爾,ㄩ,Expedition to Newdale,英,1-4,D3,7.5,3-4,90,3,https://boardgamegeek.com/boardgame/272682/expedition-newdale,烏嘎嘎,,1750,200,策略,中策,,,紅色,,,,超燒腦,
埃馬拉之冠,ㄞ,Crown of Emara,英,1-4,D3,7.4,3,45-75,3.1,https://boardgamegeek.com/boardgame/256570/crown-emara,烏嘎嘎,,,,策略,中策,,,黃色,,,,,
強國爭壩,ㄑ,Barrage,中,1-4,D3,8.2,4,60-120,4.06,https://boardgamegeek.com/boardgame/251247/barrage,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
強國爭壩：利格沃特計劃擴充,ㄑ,Barrage: The Leeghwater Project,中,1-4,D3,8.3,4,60-120,4.11,https://boardgamegeek.com/boardgame/263711/barrage-leeghwater-project,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
蓋亞計畫,ㄍ,Gaia Project,中,1-4,D3,8.7,3-4,60-150,4.3,https://boardgamegeek.com/boardgame/220308/gaia-project/videos/all,烏嘎嘎,,,,策略,重策,地圖擴張,,紅色,,https://youtu.be/BWmEW_bYxtY?si=eo62DQ9tHfReuXbk,逸馬的桌遊小教室,超燒腦,
方塊方程式,ㄈ,BITS,英,1-4,D5,6.5,2-4,30-45,1.46,https://boardgamegeek.com/boardgame/89668/bits,烏嘎嘎,,,,抽象,幾何,,,綠色,,,,,
烏邦果：三角挑戰,ㄨ,Ubongo Trigo,英,1-4,D5,6.4,3-4,20,1.5,https://boardgamegeek.com/boardgame/118553/ubongo-trigo,烏嘎嘎,,490,50,抽象,板塊拼放,拼圖,,綠色,,,,,
烏邦果,ㄨ,Ubongo,中,1-4,D5,6.7,4,25,1.55,https://boardgamegeek.com/boardgame/16986/ubongo,烏嘎嘎,,1490,150,抽象,板塊拼放,拼圖,,綠色,v,https://youtu.be/21S4thQcyD4?si=XCLlSimPto-_m_1_,勃根地桌遊,,
烏邦果：極限挑戰,ㄨ,Ubongo Extrem: Mitbringspiel,英,1-4,D5,6.1,4,15-30,1.64,https://boardgamegeek.com/boardgame/41291/ubongo-extrem-mitbringspiel,烏嘎嘎,,490,50,抽象,板塊拼放,拼圖,,綠色,,,,,
智謀棋,ㄓ,Ingenious,中,1-4,D5,7.2,2,45,1.93,https://boardgamegeek.com/boardgame/9674/ingenious,烏嘎嘎,,1150,150,抽象,牌類,,,綠色,v,,,,
國民經濟,ㄍ,National Economy,中,1-4,E1,7,4,30-45,2.5,https://boardgamegeek.com/boardgame/219122/national-economy,烏嘎嘎,,,,策略,輕策,,,綠色,,,,,
