編號,中文名稱,英文名稱,BGG連結,BGG圖片編號,定價,狀態,買二送一,買一送一,買一送二,套組內容
207,終極戰士,Ultimate Warriorz,https://boardgamegeek.com/boardgame/100679/ultimate-warriorz,100679,1290,,,v,,
333,賽馬大亨,Ready Set Bet,https://boardgamegeek.com/boardgame/351040/ready-set-bet,351040,1290,,v,,,
343,環世80天,80Days,https://boardgamegeek.com/boardgame/348503/80-days,348503,1290,,v,,,
179,靈能偵探,Paranormal Detectives,https://boardgamegeek.com/boardgame/280136/paranormal-detectives,280136,1280,,v,,,
305,瞄準！開砲！霹靂投石車,Catapult kingdoms,https://boardgamegeek.com/boardgame/310789/catapult-feud,310789,1280,,v,,,
284,名偵大賽,Awkward Guests,https://boardgamegeek.com/boardgame/188866/awkward-guests,188866,1250,,,v,,
336,翻滾雲霄飛車,Roller Coaster Rush,https://boardgamegeek.com/boardgame/379644/roller-coaster-rush,379644,1250,,,v,,
5,亡命之徒,Hit Z Road,https://boardgamegeek.com/boardgame/176083/hit-z-road,176083,1200,,,,v,
12,繽紛夜光蟲,Noctiluca,https://boardgamegeek.com/boardgame/269752/noctiluca,269752,1200,,,,v,
93,皇后的項鍊,Queen's Necklace,https://boardgamegeek.com/boardgame/6068/queens-necklace,6068,1200,,,,v,
100,世博１８９３,World's Fair 1893,https://boardgamegeek.com/boardgame/178336/worlds-fair-1893,178336,1200,,,,v,
142,騎士精神,Chivalry,https://boardgamegeek.com/boardgame/251586/chivalry,251586,1200,,,,v,
145,撰寫文明史,Cvlizations,https://boardgamegeek.com/boardgame/181494/cvlizations,181494,1200,,,,v,
148,西班牙鐵路,Iberian Rails,https://boardgamegeek.com/boardgame/206859/iberian-rails,206859,1200,,,,v,
161,聖鳥之城,Quetzal,https://boardgamegeek.com/boardgame/300700/quetzal,300700,1200,,,v,,
201,迷你都市,Micropolis,https://boardgamegeek.com/boardgame/239840/micropolis,239840,1200,,,,v,
233,Argoat,Argoat,https://boardgamegeek.com/boardgame/226616/argoat,226616,1200,,,,v,
334,飛行船都市,Airship City,https://boardgamegeek.com/boardgame/256442/airship-city,256442,1200,,,,v,
395,地產大亨:死侍收藏版,Monopoly: Deadpool,https://boardgamegeek.com/boardgame/253819/monopoly-deadpool,,1200,,,v,,
22,小小鐵路帝國,Small Railroad Empires,https://boardgamegeek.com/boardgame/299178/small-railroad-empires,299178,1190,,,,v,
113,王道,Wangdo,https://boardgamegeek.com/boardgame/245382/way-bear,245382,1190,,,,v,
151,王國軼聞錄,Paper Tales,https://boardgamegeek.com/boardgame/217861/paper-tales,217861,1190,,,v,,
316,江戶職人物語,Iki,https://boardgamegeek.com/boardgame/301255/whistle-mountain,301255,1190,,,v,,
386,鬥三國,3kingdomsbattle,N/A,,1190,,,,v,
364,骰子工廠,Fantastic Factories,https://boardgamegeek.com/boardgame/216600/fantastic-factories,216600,1180,,,v,,
247,維塔穆斯,VITA MORS,https://boardgamegeek.com/boardgame/240175/vita-mors,240175,1170,,,v,,
51,電力世界,Electropolis,https://boardgamegeek.com/boardgame/286431/electropolis,286431,1160,,,v,,
114,龍灣尋禮,Dragon Market,https://boardgamegeek.com/boardgame/274300/dragon-market,274300,1160,,,v,,
206,寂靜迷航,Not Alone,https://boardgamegeek.com/boardgame/194879/not-alone,194879,1160,,,v,,
208,創意編字,Knit Wit,https://boardgamegeek.com/boardgame/191982/knit-wit,191982,1160,,,,v,
126,豐收,Harvest,https://boardgamegeek.com/boardgame/200058/harvest,200058,1150,,,,v,
318,王權暗戰,Hidden Leaders,https://boardgamegeek.com/boardgame/320718/hidden-leaders,320718,1150,,v,,,
366,貝克街動物偵探團,The Animals of Baker Street,https://boardgamegeek.com/boardgame/359124/the-animals-of-baker-street,359124,1150,,v,,,
38,國王與刺客,King & Assassins,https://boardgamegeek.com/boardgame/147930/king-assassins,147930,1100,,,v,,
188,跑跑針鼴鼠,Echidna Shuffle,https://boardgamegeek.com/boardgame/236272/echidna-shuffle,236272,1100,,,v,,
292,釀藥森林,Brew,https://boardgamegeek.com/boardgame/332386/brew,332386,1100,,,v,,
311,天痕：部落決戰,Skytear: Horde,https://boardgamegeek.com/boardgame/344789/skytear-horde,344789,1100,,,,v,
379,竹靈之道,Bamboo,https://boardgamegeek.com/boardgame/351538/bamboo,351538,1100,,,v,,
57,煤礦大亨紙牌版,COAL BARON,https://boardgamegeek.com/boardgame/192945/coal-baron-great-card-game,192945,1090,,,v,,
117,熔爐革命,Furnace,https://boardgamegeek.com/boardgame/318084/furnace,318084,1090,,,v,,
123,諾亞鬧方舟,Animals on Board,https://boardgamegeek.com/boardgame/191572/animals-board,191572,1090,,,,v,
200,鐵路縱橫,TransAmerica,https://boardgamegeek.com/boardgame/2842/transamerica,2842,1090,,,v,,
275,妙語偵探社,Detective Club,https://boardgamegeek.com/boardgame/256788/detective-club,256788,1090,,,v,,
52,群星,Stellium,https://boardgamegeek.com/boardgame/220628/stellium,220628,1080,,,,v,
53,遺忘之都,The Forgotten City,https://boardgamegeek.com/boardgame/260212/forgotten-city,260212,1080,,,,v,
78,神奇種子,Mystical Seeds,https://boardgamegeek.com/boardgame/259525/mystical-seeds,259525,1080,,,,v,
55,大阪商人,Traders of Osaka,https://boardgamegeek.com/boardgame/24827/traders-osaka,24827,1050,,,v,,
77,可可亞,Cacao,https://boardgamegeek.com/boardgame/171499/cacao,171499,1050,,,,v,
106,Night Clan,Night Clan,https://boardgamegeek.com/boardgame/168549/night-clan,168549,1000,,,,v,
112,太空之門奧德賽,Space Gate Odyssey,https://boardgamegeek.com/boardgame/266179/space-gate-odyssey,266179,1000,,,,v,
213,漫遊世界,Co-Mix,https://boardgamegeek.com/boardgame/162367/co-mix,162367,1000,,,,v,
221,阿奎利亞城,Aquileia,https://boardgamegeek.com/boardgame/108161/aquileia,108161,1000,,,,v,
232,CINECITTA 1937,CINECITTA 1937,https://boardgamegeek.com/boardgame/203884/cinecitta-1937-1937,203884,1000,,,,v,
18,馬約利卡,Majolica,https://boardgamegeek.com/boardgame/258041/majolica,258041,990,,,v,,
32,沃塔棋,Vortex,https://boardgamegeek.com/boardgame/209290/vortex,209290,990,,,v,,
50,星球防衛者,Planet Defenders,https://boardgamegeek.com/boardgame/204879/planet-defenders,204879,990,,,,v,
71,造陸計畫,Island Project,https://boardgamegeek.com/boardgame/281394/island-project,281394,990,,,,v,
76,魔法交易所,Mystic Market,https://boardgamegeek.com/boardgame/287322/mystic-market,287322,990,,,v,,
102,迷你文明,CIV: Carta Impera Victoria,https://boardgamegeek.com/boardgame/240465/civ-carta-impera-victoria,240465,990,,,,v,
187,二手拍賣王,Speedy Pickers,https://boardgamegeek.com/boardgame/237217/speedy-pickers,237217,990,,,v,,
251,歪星訪客,Visitor in Blackwood Grove,https://boardgamegeek.com/boardgame/231223/visitor-blackwood-grove,231223,990,,,,v,
270,進擊的巨獸,Attack on Monster,https://boardgamegeek.com/boardgame/163275/attack-monster,163275,990,,,,v,
